[2022-09-07T08:21:49.264613+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:21:49.313700+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:21:49.313770+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:24:24.302460+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:24:24.303769+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:24:24.303812+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:40:57.357060+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.DEBUG: This is Debug [] []
[2022-09-07T09:28:23.634521+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-40 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634558+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-41 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634593+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-42 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634628+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-43 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635646+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-44 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635713+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-45 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635753+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-46 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635790+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-47 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635825+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-48 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635860+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-49 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635897+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-50 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635937+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-51 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.635972+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-52 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636006+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-53 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636040+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-54 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636073+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-55 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636107+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-56 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
